"date","fruits_veggies","daily_stress","places_visited","core_circle","supporting_others","social_network","achievement","donation","bmi_range","todo_completed","flow","daily_steps","live_vision","sleep_hours","lost_vacation","daily_shouting","sufficient_income","personal_awards","time_for_passion","weekly_meditation","age","gender","work_life_balance_score"
"2015-07-13",3,4,6,4,7,10,3,3,1,4,1,10,5,6,0,3,1,7,2,8,"36 to 50","Female",673.2
"2015-07-13",4,2,10,3,1,2,3,3,1,7,2,4,1,7,0,3,2,10,1,7,"Less than 20","Female",673.9
"2015-07-13",5,3,10,3,7,5,3,2,1,7,2,10,10,7,0,0,1,10,5,10,"21 to 35","Male  ",712.5
"2015-07-14",3,1,3,5,2,10,4,2,1,5,4,3,10,8,0,1,2,10,4,1,"36 to 50","Female",692.6
"2015-07-14",0,5,0,3,3,8,1,5,2,4,4,1,1,6,10,10,2,3,2,1,"36 to 50","Female",574.5
"2015-07-14",1,3,10,3,2,3,2,0,1,2,2,5,2,8,0,0,1,4,3,7,"51 or more","Female",630.1
"2015-07-14",4,2,10,6,10,8,10,2,1,10,2,10,5,7,0,3,2,10,4,10,"21 to 35","Male  ",746.5
"2015-07-14",3,3,0,2,0,5,0,5,2,3,1,2,0,6,0,6,1,2,2,10,"21 to 35","Male  ",591.7
"2015-07-14",2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,"51 or more","Female",729.4
"2015-07-15",2,5,1,8,5,2,2,5,2,2,0,10,0,8,7,10,1,2,0,10,"36 to 50","Female",593.7
"2015-07-15",4,1,1,10,10,10,5,5,2,8,3,7,3,6,7,2,1,6,4,10,"51 or more","Male  ",682.8
"2015-07-15",5,3,6,6,10,7,3,5,1,8,5,3,4,9,0,3,2,6,6,10,"51 or more","Female",723.4
"2015-07-15",4,2,10,8,8,4,6,3,1,5,4,3,2,7,10,1,2,5,4,8,"21 to 35","Female",687.3
"2015-07-15",4,3,10,8,10,3,2,3,2,0,0,3,0,5,0,2,2,4,0,2,"51 or more","Female",635.9
"2015-07-15",2,3,0,8,10,10,1,2,2,5,0,2,10,9,0,3,1,10,0,10,"51 or more","Female",655.2
"2015-07-15",3,2,4,1,1,10,3,2,1,7,5,7,2,7,4,3,1,3,5,8,"21 to 35","Male  ",652.4
"2015-07-15",2,3,3,10,3,4,0,4,1,7,1,8,1,8,0,3,2,2,2,3,"36 to 50","Female",657.9
"2015-07-16",3,5,10,2,9,10,5,5,1,10,1,10,10,5,10,7,2,7,2,2,"36 to 50","Female",686.6
"2015-07-16",5,3,10,10,10,6,4,5,1,7,4,10,2,6,5,1,2,8,4,10,"51 or more","Female",732.7
"2015-07-16",4,2,10,10,5,8,5,2,2,6,3,10,2,8,2,2,1,10,3,7,"21 to 35","Female",685.5
"2015-07-16",3,2,8,10,10,10,8,5,2,10,3,7,10,7,1,2,2,10,3,10,"51 or more","Female",742.5
"2015-07-16",2,3,3,10,10,10,5,1,2,7,4,2,6,8,0,2,2,4,1,1,"36 to 50","Female",663.5
"2015-07-16",4,3,6,3,10,10,5,4,1,4,6,8,3,7,0,4,2,4,5,9,"21 to 35","Female",710.4
"2015-07-16",3,5,8,9,5,10,4,2,2,8,4,10,2,8,10,4,2,3,3,5,"21 to 35","Female",658.3
"2015-07-17",1,2,4,6,1,10,4,0,2,5,1,5,1,6,0,1,2,8,1,2,"36 to 50","Male  ",633.1
"2015-07-18",5,2,3,6,4,9,3,2,1,5,3,6,3,8,0,3,2,2,3,5,"51 or more","Female",677.9
"2015-07-18",4,2,5,10,10,2,5,3,2,4,2,1,1,6,10,1,2,3,4,4,"21 to 35","Female",640.8
"2015-07-18",1,4,1,1,1,7,1,0,1,0,5,3,1,6,10,8,1,2,2,1,"Less than 20","Female",557.9
"2015-07-18",4,2,8,6,2,10,1,1,2,6,3,5,10,8,3,3,2,10,1,2,"36 to 50","Female",669.2
"2015-07-18",5,4,10,6,5,10,7,4,1,4,4,10,1,7,0,2,2,6,4,5,"36 to 50","Male  ",712.5
"2015-07-18",4,3,10,1,10,2,4,5,1,9,2,10,2,7,0,0,2,10,1,7,"51 or more","Female",712.5
"2015-07-18",0,5,0,2,1,2,0,5,1,0,0,1,0,10,0,2,1,1,0,0,"21 to 35","Male  ",571.9
"2015-07-18",0,5,0,2,1,2,1,5,1,1,0,1,0,10,0,2,1,1,0,0,"21 to 35","Male  ",575.3
"2015-07-18",4,3,1,7,5,8,5,3,1,7,3,8,3,7,10,1,2,3,9,4,"21 to 35","Female",678.1
"2015-07-19",5,2,4,5,4,4,2,1,1,4,4,6,3,7,8,3,1,4,8,8,"21 to 35","Male  ",648.8
"2015-07-19",1,1,10,2,1,5,1,0,1,5,4,8,1,6,5,0,2,4,1,7,"21 to 35","Male  ",649
"2015-07-19",2,5,6,4,10,0,10,3,1,5,1,2,1,9,0,4,1,10,1,10,"36 to 50","Female",656.9
"2015-07-19",3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,2,5,4,8,"21 to 35","Female",680.7
"2015-07-19",3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,1,5,4,8,"21 to 35","Female",663.7
"2015-07-19",2,1,3,3,2,4,1,5,2,5,2,10,1,7,0,1,2,5,3,10,"21 to 35","Male  ",661.5
"2015-07-19",3,1,1,1,1,3,1,1,1,0,0,6,0,7,2,2,2,3,1,1,"51 or more","Female",609.7
"2015-07-19",3,2,6,4,10,10,1,1,2,7,0,1,1,8,0,1,2,6,2,6,"21 to 35","Female",656.5
"2015-07-19",4,3,10,10,10,10,3,3,1,9,3,8,3,8,0,0,2,5,6,10,"21 to 35","Male  ",739.5
"2015-07-19",3,5,4,0,2,3,0,5,1,8,2,10,0,4,0,0,2,5,1,10,"21 to 35","Female",657.5
"2015-07-19",0,4,0,2,2,3,1,0,2,1,0,4,0,4,0,10,1,1,0,0,"36 to 50","Female",528.8
"2015-07-20",4,3,10,8,10,10,4,5,2,10,2,7,5,6,10,1,2,10,1,3,"51 or more","Male  ",694.7
"2015-07-20",5,1,10,4,2,2,0,1,1,10,1,4,0,8,10,2,2,4,5,10,"51 or more","Female",662.2
"2015-07-20",5,2,3,1,10,10,3,5,1,8,2,5,2,7,1,0,2,5,2,10,"21 to 35","Female",704.7
"2015-07-20",5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,"36 to 50","Female",694
"2015-07-20",5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,"36 to 50","Female",694
"2015-07-20",3,3,8,10,5,7,3,4,1,8,4,10,5,8,0,1,1,10,3,7,"21 to 35","Female",709.3
"2015-07-20",0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,"21 to 35","Male  ",538.8
"2015-07-20",1,1,2,2,1,3,4,0,1,2,2,8,10,8,0,1,2,1,1,10,"Less than 20","Male  ",654.5
"2015-07-20",5,1,6,4,10,4,5,1,2,10,1,1,10,8,0,3,2,0,3,10,"51 or more","Female",680.3
"2015-07-20",0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,"21 to 35","Male  ",538.8
"2015-07-20",3,4,8,7,5,7,8,2,2,7,2,3,4,6,6,5,2,10,0,4,"21 to 35","Female",651.4
"2015-07-20",5,2,10,5,5,10,5,2,1,9,4,2,10,8,0,0,2,7,5,5,"21 to 35","Female",724.7
"2015-07-20",5,2,3,6,10,10,5,2,2,5,2,6,0,6,1,0,2,8,2,5,"51 or more","Female",677.5
"2015-07-20",4,4,8,2,10,10,6,5,2,6,5,7,8,6,10,0,2,10,3,7,"51 or more","Female",696.4
"2015-07-20",2,4,10,6,4,5,3,1,1,8,1,2,2,8,0,1,1,10,6,4,"36 to 50","Female",658.4
"2015-07-20",5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,"36 to 50","Female",749.7
"2015-07-20",5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,"36 to 50","Female",749.7
"2015-07-20",3,4,4,7,4,4,10,5,2,6,1,9,8,6,0,9,2,7,1,10,"36 to 50","Female",676.4
"2015-07-20",3,4,1,4,2,5,2,2,2,1,1,9,0,6,7,10,2,2,0,10,"21 to 35","Female",594.8
"2015-07-20",5,3,8,1,10,10,8,5,1,9,5,10,10,8,2,0,2,8,5,10,"21 to 35","Female",758.6
"2015-07-20",3,4,3,1,4,3,4,0,1,5,0,7,1,6,1,7,2,10,1,10,"21 to 35","Male  ",640.3
"2015-07-21",3,2,2,3,8,10,2,1,1,8,1,8,8,7,2,2,2,2,1,7,"36 to 50","Male  ",678.1
"2015-07-21",2,3,10,4,10,10,3,1,2,8,3,4,3,6,0,1,2,10,1,7,"36 to 50","Male  ",678.8
"2015-07-21",1,5,0,1,1,3,4,1,2,1,0,1,0,10,10,6,2,3,0,1,"36 to 50","Female",551.5
"2015-07-21",5,5,2,2,10,8,1,0,1,9,2,10,3,6,3,3,1,4,2,1,"21 to 35","Female",639.2
"2015-07-21",1,3,10,6,10,10,8,4,1,9,6,7,5,7,5,1,2,7,5,3,"21 to 35","Female",718.7
"2015-07-21",1,3,10,6,7,10,7,3,1,9,4,5,5,7,4,2,2,7,3,3,"21 to 35","Female",697.9
"2015-07-21",2,3,6,3,5,5,5,3,1,5,3,4,4,7,0,1,2,5,4,4,"51 or more","Female",670.5
"2015-07-21",4,3,8,10,10,10,2,1,1,4,3,3,10,7,7,6,1,5,2,6,"36 to 50","Female",666.9
"2015-07-21",5,4,3,10,4,8,6,2,2,4,0,8,5,6,0,5,1,4,2,3,"21 to 35","Male  ",638.8
"2015-07-21",5,4,10,3,10,8,0,5,2,3,1,5,2,6,0,3,1,4,5,6,"21 to 35","Female",651.8
"2015-07-21",3,2,2,3,2,3,4,1,1,8,3,10,1,9,8,2,1,4,2,9,"21 to 35","Male  ",639.8
"2015-07-22",3,2,3,8,8,5,3,5,1,5,1,6,10,7,0,6,2,2,2,7,"36 to 50","Female",687.9
"2015-07-22",2,3,6,10,3,4,0,1,2,1,2,2,0,7,9,1,2,1,0,2,"21 to 35","Female",593.6
"2015-07-22",3,4,10,8,8,3,1,1,1,6,1,5,0,8,10,7,1,10,1,3,"21 to 35","Female",626.7
"2015-07-22",2,2,5,1,0,10,10,1,1,7,3,3,3,6,1,1,1,10,1,7,"21 to 35","Male  ",658.2
"2015-07-22",1,2,0,4,1,1,1,0,1,8,0,1,0,7,0,3,1,5,5,7,"51 or more","Female",605.3
"2015-07-23",3,2,3,6,5,9,6,4,2,5,4,1,5,6,3,2,1,10,2,2,"36 to 50","Female",645.9
"2015-07-23",2,2,3,6,3,2,5,3,1,4,3,6,2,8,2,0,2,5,5,6,"21 to 35","Male  ",669.4
"2015-07-23",1,3,2,5,1,2,1,0,1,2,1,10,0,7,0,0,1,0,0,7,"21 to 35","Female",605.4
"2015-07-23",3,2,9,7,7,5,3,4,2,9,2,5,10,6,0,3,2,5,2,8,"51 or more","Female",690.9
"2015-07-23",5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,"Less than 20","Female",709.4
"2015-07-23",5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,"Less than 20","Female",709.4
"2015-07-23",3,5,0,3,2,10,0,0,2,10,1,10,10,6,0,4,1,0,3,10,"21 to 35","Female",627.3
"2015-07-24",2,5,0,10,3,2,4,1,1,5,2,4,0,8,0,10,2,10,3,10,"51 or more","Female",643.5
"2015-07-24",2,1,1,0,0,6,2,0,1,5,2,8,2,7,2,3,2,5,4,4,"21 to 35","Male  ",637.3
"2015-07-24",1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,"21 to 35","Female",665.3
"2015-07-24",1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,"21 to 35","Female",665.3
"2015-07-24",5,2,10,5,6,5,8,3,1,7,3,10,2,9,5,5,2,8,3,10,"21 to 35","Male  ",714.6
"2015-07-24",5,3,0,6,5,10,2,1,1,9,3,9,2,5,2,6,1,3,5,3,"21 to 35","Female",649
"2015-07-24",5,2,10,4,4,10,4,3,1,9,2,10,1,7,0,3,2,9,1,10,"36 to 50","Female",717.6
"2015-07-24",5,4,10,3,10,10,8,4,1,8,2,10,10,7,0,0,2,10,2,8,"36 to 50","Male  ",748.2
"2015-07-24",3,5,0,7,2,5,1,2,1,3,1,9,0,7,0,8,2,6,0,10,"36 to 50","Female",637.5
"2015-07-24",2,3,0,7,2,5,2,3,1,3,2,9,0,4,0,3,1,5,1,7,"21 to 35","Female",628.4
"2015-07-24",3,4,3,5,0,5,2,1,1,3,4,3,4,5,0,3,2,2,4,5,"Less than 20","Male  ",634.2
"2015-07-24",5,4,3,7,4,4,3,3,1,2,0,3,0,9,1,5,2,5,3,8,"21 to 35","Male  ",653.7
"2015-07-25",1,3,3,5,6,2,10,0,1,8,2,10,0,8,10,0,1,10,4,10,"21 to 35","Male  ",656.6
"2015-07-25",2,0,0,10,2,5,2,0,1,10,1,1,0,10,0,0,2,1,7,10,"36 to 50","Female",670.5
"2015-07-25",1,2,2,1,3,7,1,1,2,2,1,1,0,8,5,0,2,0,0,4,"36 to 50","Female",588.5
"2015-07-25",2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,"36 to 50","Female",672.8
"2015-07-25",5,4,10,3,3,10,4,4,1,7,2,10,3,6,3,2,2,6,3,5,"21 to 35","Male  ",695.3
"2015-07-25",2,3,2,5,6,5,1,1,2,6,1,2,1,6,0,5,1,5,1,1,"36 to 50","Male  ",591.7
"2015-07-25",3,2,10,5,1,10,2,0,2,8,3,5,0,9,0,7,2,3,1,8,"21 to 35","Female",649
"2015-07-25",5,3,4,10,6,10,4,5,2,8,4,7,10,7,5,1,2,10,2,5,"51 or more","Female",708.5
"2015-07-25",1,1,4,6,6,4,6,0,1,9,4,3,2,6,0,1,2,10,2,4,"Less than 20","Female",673.5
"2015-07-25",0,4,1,1,8,3,1,1,1,1,1,4,3,5,0,8,2,1,0,4,"21 to 35","Female",595.3
"2015-07-26",3,4,4,6,10,10,0,3,2,4,1,10,5,7,5,4,2,10,6,5,"51 or more","Female",671.7
"2015-07-26",3,4,3,4,2,3,3,4,1,0,1,10,3,5,2,7,2,0,2,3,"Less than 20","Female",625.4
"2015-07-26",5,1,9,6,2,7,5,1,1,7,6,7,4,10,0,1,2,1,3,7,"Less than 20","Male  ",705.7
"2015-07-26",5,2,9,10,8,10,6,3,1,10,5,9,5,9,0,3,2,10,6,5,"36 to 50","Male  ",753.5
"2015-07-26",5,1,7,4,2,10,5,0,1,8,8,8,2,10,0,1,2,1,5,7,"Less than 20","Male  ",707.6
"2015-07-26",5,0,9,4,4,8,1,0,1,9,7,10,2,10,0,0,2,3,5,5,"Less than 20","Male  ",713.1
"2015-07-26",5,2,5,4,7,1,3,5,2,9,1,7,10,6,1,1,2,4,8,4,"51 or more","Female",687.9
"2015-07-26",2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,"51 or more","Female",729.4
"2015-07-26",5,3,10,10,5,5,10,3,2,8,2,5,2,7,10,9,2,5,3,7,"51 or more","Female",665.6
"2015-07-26",1,2,4,3,1,2,0,1,2,2,0,2,3,8,0,2,1,4,0,1,"21 to 35","Male  ",576.8
"2015-07-26",2,5,5,6,2,4,6,0,2,3,1,5,5,6,10,10,2,10,3,3,"36 to 50","Female",602.5
"2015-07-26",3,4,10,5,8,4,3,5,1,5,4,7,0,6,10,2,2,5,2,7,"36 to 50","Female",669.2
"2015-07-26",2,2,2,6,4,4,5,5,1,6,2,4,4,7,0,3,2,8,4,6,"36 to 50","Female",680.7
"2015-07-27",5,5,5,5,10,10,3,4,1,4,5,4,0,9,0,3,2,3,9,5,"36 to 50","Female",694.7
"2015-07-27",3,4,2,2,10,3,1,5,2,3,4,1,0,9,7,0,2,3,0,0,"36 to 50","Female",612.5
"2015-07-27",4,3,10,6,4,7,1,1,1,7,2,5,1,7,1,3,2,6,2,10,"36 to 50","Male  ",679.2
"2015-07-27",2,3,5,3,0,10,3,1,1,7,6,3,2,8,5,1,2,10,6,10,"21 to 35","Male  ",677.3
"2015-07-27",5,1,3,8,10,10,3,1,1,10,6,6,10,7,0,0,2,4,1,10,"36 to 50","Female",730.4
"2015-07-27",3,5,6,3,6,4,3,2,1,10,4,2,1,8,0,2,1,10,4,7,"36 to 50","Female",658.4
"2015-07-27",5,3,10,4,10,2,5,5,1,9,1,4,10,6,0,1,2,7,2,6,"36 to 50","Female",714.5
"2015-07-27",5,5,5,5,6,10,0,0,1,0,4,6,5,6,10,8,1,10,1,3,"Less than 20","Female",619.7
"2015-07-27",4,3,4,7,4,5,2,0,1,8,2,6,5,7,0,3,2,7,3,5,"21 to 35","Female",672.6
"2015-07-27",3,3,0,2,3,3,0,3,2,8,0,3,0,8,0,3,2,2,0,1,"36 to 50","Female",602.5
"2015-07-27",4,3,1,7,10,4,2,5,1,8,2,5,3,7,4,0,2,9,1,7,"51 or more","Female",689.4
"2015-07-27",3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,"51 or more","Male  ",683.7
"2015-07-27",3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,"51 or more","Male  ",683.7
"2015-07-27",1,5,0,1,6,4,4,3,1,9,6,4,3,6,6,1,2,6,0,1,"51 or more","Female",632.9
"2015-07-27",1,1,5,5,3,7,5,1,1,5,2,5,1,8,0,3,2,10,1,4,"21 to 35","Male  ",665.8
"2015-07-27",5,3,10,10,10,6,6,4,2,10,7,6,10,6,0,1,2,5,6,7,"51 or more","Female",733.6
"2015-07-27",5,2,3,10,10,10,2,2,1,8,2,10,2,8,0,1,2,3,2,7,"51 or more","Female",711
"2015-07-27",1,3,1,2,2,1,2,0,2,2,0,3,0,10,10,4,1,2,0,10,"21 to 35","Male  ",558.7
"2015-07-28",4,3,5,10,10,10,5,2,1,10,9,10,10,8,0,4,2,7,10,5,"51 or more","Female",753.5
"2015-07-28",3,2,2,3,2,5,4,3,1,6,3,3,0,7,2,4,1,8,4,4,"21 to 35","Female",636.3
"2015-07-28",3,3,3,8,4,1,2,4,2,4,1,2,2,9,10,4,1,7,1,6,"21 to 35","Female",604.2
"2015-07-28",1,4,4,6,10,7,2,3,2,2,5,2,2,5,4,1,1,8,1,5,"51 or more","Male  ",620.4
"2015-07-28",3,4,5,5,10,6,3,3,1,7,1,10,1,5,7,5,2,0,0,3,"21 to 35","Female",645.8
"2015-07-28",3,4,10,1,4,1,3,1,2,6,2,9,1,6,10,2,1,4,1,2,"21 to 35","Male  ",594.8
"2015-07-28",2,3,2,10,1,10,7,2,2,10,5,10,4,6,10,1,2,6,5,8,"21 to 35","Male  ",674.9
"2015-07-28",5,3,8,5,8,10,5,5,2,10,5,10,5,6,0,2,2,4,4,7,"51 or more","Female",715.7
"2015-07-29",2,1,2,2,0,1,1,3,2,1,2,1,1,6,0,10,2,5,0,10,"51 or more","Male  ",596.6
"2015-07-29",5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,"Less than 20","Male  ",680.5
"2015-07-29",5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,"Less than 20","Male  ",680.5
"2015-07-29",3,2,10,8,8,8,0,0,1,10,5,10,6,7,0,0,2,7,1,7,"36 to 50","Female",715.9
"2015-07-29",3,3,6,5,8,2,2,0,2,5,2,10,0,7,0,2,2,5,1,3,"51 or more","Female",639.4
"2015-07-29",5,1,7,3,0,9,5,2,1,5,3,7,10,8,0,2,2,2,1,9,"21 to 35","Female",698.5
"2015-07-29",0,1,10,9,8,10,1,1,1,2,1,2,1,8,2,4,1,8,0,1,"21 to 35","Male  ",639.7
"2015-07-29",4,4,5,4,10,4,4,5,1,5,3,5,8,7,0,1,2,5,10,10,"51 or more","Female",714.9
"2015-07-29",2,2,8,4,4,5,3,3,1,3,2,9,1,7,10,4,2,7,2,8,"21 to 35","Female",657.9
"2015-07-29",4,2,4,6,1,10,1,1,2,5,6,3,2,8,0,1,2,4,1,10,"51 or more","Female",658.6
"2015-07-29",5,1,6,10,10,5,3,5,1,10,6,6,3,8,10,0,2,10,4,10,"51 or more","Female",732.3
"2015-07-29",5,2,5,3,3,10,10,2,2,10,1,4,2,7,0,1,2,10,10,10,"51 or more","Female",706.2
"2015-07-29",3,4,6,7,6,6,1,5,2,9,1,9,1,5,0,7,2,4,0,0,"21 to 35","Female",642.2
"2015-07-29",5,2,10,3,4,5,4,3,1,4,5,7,5,9,3,3,2,8,2,9,"51 or more","Female",702.1
"2015-07-30",2,3,10,10,10,8,5,2,1,5,3,6,0,7,0,1,1,10,5,10,"21 to 35","Female",699.8
"2015-07-30",4,2,0,2,10,10,0,5,1,7,6,5,0,7,10,2,1,5,8,8,"51 or more","Male  ",665.6
"2015-07-30",3,3,6,9,8,5,4,3,2,7,7,1,4,10,3,3,2,3,6,7,"Less than 20","Female",677.3
"2015-07-30",5,2,5,8,10,10,5,3,1,7,5,10,5,7,0,5,2,10,4,4,"36 to 50","Female",729.5
"2015-07-30",0,3,4,5,4,5,4,5,1,2,2,1,1,6,0,5,1,5,1,10,"21 to 35","Female",628.9
"2015-07-30",2,5,1,4,4,4,0,1,1,2,0,1,0,8,0,4,1,2,1,3,"21 to 35","Female",583.4
"2015-07-30",0,4,0,4,0,3,2,0,2,5,3,1,1,8,5,1,2,3,5,9,"21 to 35","Male  ",597
"2015-07-30",5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,"21 to 35","Female",679.8
"2015-07-30",2,4,2,0,9,8,0,2,1,2,2,4,2,9,0,8,1,4,4,10,"36 to 50","Male  ",628.4
"2015-07-30",2,4,2,10,5,5,3,5,2,2,2,1,0,5,0,5,2,10,0,2,"36 to 50","Male  ",627
"2015-07-30",2,1,10,8,10,5,0,5,1,7,8,7,0,8,0,2,2,10,10,10,"21 to 35","Male  ",739.3
"2015-07-31",4,4,8,10,10,7,8,3,2,8,4,10,2,8,0,10,2,7,7,7,"36 to 50","Female",704.2
"2015-07-31",1,4,3,6,5,7,5,5,1,4,1,1,6,7,0,3,1,10,2,10,"Less than 20","Female",661.4
"2015-07-31",5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,"21 to 35","Female",679.8
"2015-07-31",2,4,4,8,4,4,0,0,2,8,3,4,3,6,6,7,2,5,1,8,"36 to 50","Male  ",615.9
"2015-07-31",4,4,10,5,7,7,7,3,1,8,7,8,10,8,0,2,2,10,4,9,"51 or more","Female",741.2
"2015-07-31",3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,"36 to 50","Male  ",677
"2015-07-31",3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,"36 to 50","Male  ",677
"2015-07-31",4,4,5,5,3,10,4,0,2,9,1,3,4,7,3,3,2,10,1,2,"51 or more","Male  ",644.8
"2015-07-31",1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,"21 to 35","Male  ",727.6
"2015-07-31",1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,"21 to 35","Male  ",727.6
"2015-07-31",3,4,1,1,10,1,3,3,2,7,2,3,0,6,5,0,1,10,1,3,"36 to 50","Female",608.9
"2015-07-31",3,1,5,9,10,10,5,3,1,9,6,2,3,7,0,1,2,10,6,10,"21 to 35","Female",734.7
"2015-07-31",1,4,6,10,6,2,2,3,1,2,2,3,0,10,0,1,1,10,1,8,"21 to 35","Female",650.5
"2015-07-31",5,0,10,9,8,6,4,2,1,6,6,8,4,9,1,1,2,10,3,10,"21 to 35","Male  ",743.1
"2015-07-31",3,1,7,10,10,10,10,2,2,8,10,5,4,9,10,1,2,10,5,10,"51 or more","Female",725.5
"2015-07-31",5,1,10,7,7,10,7,0,1,8,10,8,3,6,0,0,2,10,5,10,"21 to 35","Male  ",749.3
"2015-08-01",3,4,8,5,4,10,6,5,2,8,7,10,8,6,0,3,2,7,5,3,"36 to 50","Female",703.8
